Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Зарын дугаар: ,Огноо,Зарын гарчиг,Үнэ,Байрлал,Хэрэглэгчийн нэр,Хэрэглэгчийн дугаар,Үзсэн,Зарын тайлбар
Паркет,1 тагттай,2021,Байхгүй,Вакум,13,Бүргэд,28.54 м²,7,Хувь лизингтэй,Чингэлтэй,1,Баянбүрд,4617878,Нийтэлсэн: 2021-01-08 08:09,1 өрөө байр,39670600.0,Улаанбаатар,,,441,8
Паркет,1 тагттай,2018,Байгаа,Вакум,12,Бүргэд,31.0 м²,5,Лизинггүй,Баянзүрх,2,Өгөөмөр захын зүүн,4585032,Нийтэлсэн: 2021-01-08 13:13,1 өрөө 31мкв байр,45000000.0,Улаанбаатар,,,538,1
Паркет,1 тагттай,2021,Байгаа,Вакум,12,Бүргэд,39.87 м²,11,Лизинггүй,Хан-Уул,1,Нисэх,4208197,Нийтэлсэн: 2021-01-08 09:30,Nished 1 uruu bair,68000000.0,Улаанбаатар,,,88,1
Паркет,Тагтгүй,2006,Байхгүй,Вакум,9,Бүргэд,33.3 м²,7,Лизинггүй,Баянгол,2,"3, 4 хороолол",4618255,Нийтэлсэн: 2021-01-08 12:11,"Horoololiin 33,3 m2 talbaitai 1 uruu",63000000.0,Улаанбаатар,,,407,1
Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Төмөр,37.0 м²,10,Лизинггүй,Баянзүрх,1,Офицер,4549445,Нийтэлсэн: 2021-01-08 13:09,Шинэ амгалан хотхон 1 өрөө байр 37m2,60000000.0,Улаанбаатар,,,113,1
Паркет,Тагтгүй,2012,Байхгүй,Төмөр вакум,7,Бүргэд,26.5 м²,7,Лизинггүй,Баянгол,1,"3, 4 хороолол",4618533,Нийтэлсэн: 2021-01-08 14:31,1 өрөө байр,52000000.0,Улаанбаатар,,,357,1
Паркет,1 тагттай,2005,Байхгүй,Вакум,5,Бүргэд,40.0 м²,1,Лизинггүй,Баянгол,3,"3, 4 хороолол",4610890,Нийтэлсэн: 2021-01-08 13:16,Модны 2т 1өрөө байр 40м2,65000000.0,Улаанбаатар,,,232,16
Паркет,Тагтгүй,2014,Байхгүй,Модон вакум,5,Бүргэд,33.0 м²,4,Лизинггүй,Сонгино Хайрхан,2,Найрамдал,4567972,Нийтэлсэн: 2021-01-08 14:38,найрамдал 1 өрөө байр,69000000.0,Улаанбаатар,,,147,8
Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Төмөр,18.0 м²,9,Лизинггүй,Баянгол,2,"3, 4 хороолол",4618587,Нийтэлсэн: 2021-01-08 14:48,3 4 р хороололд сургууль цэцэрлэг уйлчилгээнд ойр 1ерее байр,62000000.0,Улаанбаатар,,,354,1
Паркет,1 тагттай,2021,Байхгүй,Вакум,13,Бүргэд,28.54 м²,10,Хувь лизингтэй,Чингэлтэй,1,Баянбүрд,4619192,Нийтэлсэн: 2021-01-08 19:52,Хотын төвд 1 өрөө байр 28.54м2,39670000.0,Улаанбаатар,,,722,8
Паркет,1 тагттай,2008,Байхгүй,Вакум,5,Бүргэд,36.7 м²,1,Лизинггүй,Баянзүрх,3,Офицер,4536637,Нийтэлсэн: 2021-01-08 21:56,1 өрөө 36.7мк байр,1260000.0,Улаанбаатар,,,358,1
Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Төмөр,21.0 м²,2,Лизинггүй,Хан-Уул,1,Viva city,3567790,Нийтэлсэн: 2021-01-08 23:28,Viva city д 1 өрөө байр,41000000.0,Улаанбаатар,,,1155,1
Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,16.0 м²,1,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,4306399,Нийтэлсэн: 2021-01-08 23:58,1-р хороолол хар хоринд 1 өрөө байр хуучны 16м2,60000000.0,Улаанбаатар,,,302,1
Паркет,Тагтгүй,2021,Байхгүй,Төмөр вакум,16,Бүргэд,30.3 м²,10,Лизинггүй,Баянгол,1,"3, 4 хороолол",4619525,Нийтэлсэн: 2021-01-09 08:07,1 өрөө,1650000.0,Улаанбаатар,,,378,1
Паркет,Тагтгүй,2012,Байхгүй,Вакум,16,Бүргэд,30.0 м²,10,Лизинггүй,Баянгол,1,10-р хороолол,4619308,Нийтэлсэн: 2021-01-08 21:12,Golden parkiin buren zasvartai 1 uruu,48000000.0,Улаанбаатар,,,421,1
Паркет,Тагтгүй,1995,Байгаа,Вакум,9,Бүргэд,18.0 м²,1,Хувь лизингтэй,Сонгино Хайрхан,2,1-р хороолол,4619699,Нийтэлсэн: 2021-01-09 10:40,Хархорин захын хойно 26 байранд 1өрөө,85000000.0,Улаанбаатар,,,202,9
Паркет,1 тагттай,2012,Байхгүй,Мод,1,Бүргэд,22.4 м²,1,Лизинггүй,Баянзүрх,1,Шар хад,1404896,Нийтэлсэн: 2021-01-08 19:57,Да хүрээ захын хажууд 1 өрөө 22.4м2 байр,35000000.0,Улаанбаатар,,,267,1
Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,30.6 м²,2,Банкны лизингтэй,Баянзүрх,1,Офицер,4574083,Нийтэлсэн: 2021-01-09 12:46,Офицерт 1 өрөө байр 30м2,52000000.0,Улаанбаатар,,,171,1
Паркет,1 тагттай,2020,Байхгүй,Вакум,10,Бүргэд,33.95 м²,3,Лизинггүй,Баянгол,2,10-р хороолол,4452406,Нийтэлсэн: 2021-01-09 13:13,10-р хороололд 1 өрөө байр,65000000.0,Улаанбаатар,,,214,3
Паркет,1 тагттай,2004,Байхгүй,Вакум,4,Бүргэд,37.0 м²,1,Лизинггүй,Баянзүрх,3,14-р хороолол,4619980,Нийтэлсэн: 2021-01-09 14:03,Gal togoo tusda 1 oroo bair,45000000.0,Улаанбаатар,,,925,1
Паркет,Тагтгүй,2013,Байхгүй,Вакум,12,Бүргэд,44.5 м²,5,Хувь лизингтэй,Баянзүрх,1,14-р хороолол,3975492,Нийтэлсэн: 2021-01-09 16:52,Бзд 14-р хороо түмэннаст хотхон 1өрөө 45м2,66750000.0,Улаанбаатар,,,366,2
Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Төмөр,34.23 м²,8,Лизинггүй,Баянгол,2,"3, 4 хороолол",4572654,Нийтэлсэн: 2021-01-09 17:56,1 oroo bair,61300000.0,Улаанбаатар,,,193,1
Паркет,Тагтгүй,2021,Байхгүй,Вакум,16,Бүргэд,22.44 м²,12,Лизинггүй,Баянзүрх,1,16-р хороолол,4620564,Нийтэлсэн: 2021-01-09 18:21,Sky risedence 2т 1 өрөө байр,40000000.0,Улаанбаатар,,,594,10
Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,18.0 м²,7,Лизинггүй,Баянгол,3,10-р хороолол,4620292,Нийтэлсэн: 2021-01-09 21:02,10-r horoolold gal togoo tusdaa 1 uruu bair,72000000.0,Улаанбаатар,,,191,5
Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,23.0 м²,5,Лизинггүй,Баянгол,2,1-р хороолол,4620824,Нийтэлсэн: 2021-01-10 09:06,1 uruu bair,40000000.0,Улаанбаатар,,,807,1
Паркет,Тагтгүй,2011,Байхгүй,Вакум,12,Бүргэд,30.52 м²,11,Лизинггүй,Баянзүрх,2,11-р хороолол,4523831,Нийтэлсэн: 2021-01-10 00:11,Хотын төвд 1 өрөө байр,60000000.0,Улаанбаатар,,,940,1
Паркет,Тагтгүй,1980,Байхгүй,Вакум,4,Бүргэд,18.0 м²,1,Лизинггүй,Чингэлтэй,2,"40, 50 мянгат",4243689,Нийтэлсэн: 2021-01-10 00:32,Хотын төвд 1 өрөө байр хуучнаар 18м2,83000000.0,Улаанбаатар,,,1613,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,13,Төмөр,33.0 м²,9,Лизинггүй,Баянзүрх,2,Сансар,4621435,Нийтэлсэн: 2021-01-10 11:56,Сансрын и мартын зүүн талд энэрэл хотхонд 1 өрөө байр 33м2,77000000.0,Улаанбаатар,,,293,5
Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,32.0 м²,8,Хувь лизингтэй,Баянзүрх,1,16-р хороолол,4462511,Нийтэлсэн: 2021-01-10 13:02,Баганат өргөө 1 өрөө 32м2,51500000.0,Улаанбаатар,,,134,1
Паркет,1 тагттай,2018,Байхгүй,Вакум,16,Бүргэд,42.27 м²,15,Лизинггүй,Баянзүрх,2,Бусад,4480623,Нийтэлсэн: 2021-01-10 15:40,Чухаг 2 хотхонд 42.27 мкв 1 өрөө байр,93000000.0,Улаанбаатар,,,78,1
Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,29.0 м²,1,Лизинггүй,Сүхбаатар,1,Баянбүрд,4621680,Нийтэлсэн: 2021-01-10 13:34,1 давхарын 1 өрөө,1900000.0,Улаанбаатар,,,231,1
Мод,1 тагттай,1988,Байхгүй,Вакум,4,Бүргэд,18.0 м²,2,Лизинггүй,Сүхбаатар,2,Бусад,4622156,Нийтэлсэн: 2021-01-10 16:58,1өрөө байр,55000000.0,Улаанбаатар,,,512,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,9,Бүргэд,32.0 м²,7,Хувь лизингтэй,Хан-Уул,1,Зайсан,4590093,Нийтэлсэн: 2021-01-10 18:06,Зайсан улаанбаатар сувилалын хажууд дөл хотхонд 1өрөө,69000000.0,Улаанбаатар,,,1453,1
Мод,Тагтгүй,1980,Байхгүй,Вакум,3,Мод,30.0 м²,3,Лизинггүй,Сонгино Хайрхан,2,Ханын материал,4600031,Нийтэлсэн: 2021-01-10 16:59,Хмк эцэст автобусны буудлын дэргэд гал тогоо тусдаа 1өрөө 30м2 байр,38500000.0,Улаанбаатар,,,271,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,39.0 м²,5,Лизинггүй,Баянзүрх,2,13-р хороолол,4622428,Нийтэлсэн: 2021-01-10 19:27,Gal togoo tusdaa 1 uruu bair 39m2,73000000.0,Улаанбаатар,,,159,1
