Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Зарын дугаар: ,Огноо,Зарын гарчиг,Үнэ,Байрлал,Хэрэглэгчийн нэр,Хэрэглэгчийн дугаар,Үзсэн,Зарын тайлбар
Паркет,Тагтгүй,2018,Байхгүй,Вакум,16,Бүргэд,31.17 м²,8,Лизинггүй,Баянзүрх,1,16-р хороолол,3718702,Нийтэлсэн: 2020-02-08 11:19,1 өрөө байр 31.17 м кв,1600000.0,Улаанбаатар,Амараа,1389176,172,4
Паркет,1 тагттай,2012,Байхгүй,Вакум,16,Бүргэд,30.0 м²,16,Лизинггүй,Баянгол,1,10-р хороолол,3673349,Нийтэлсэн: 2020-02-08 10:25,Golden park 2-ийн 301-р байрны 16 давхарт 1 өрөө,45000000.0,Улаанбаатар,Сувдаа,112357,260,1
Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Төмөр,30.0 м²,4,Лизинггүй,Хан-Уул,1,Яармаг,3718623,Нийтэлсэн: 2020-02-08 10:51,Viva city хороололд 1 өрөө 30 мкв байр,46000000.0,Улаанбаатар,Зөв эргэлт Зууч,552388,209,1
Паркет,1 тагттай,2017,Байгаа,Вакум,12,Бүргэд,43.0 м²,11,Лизинггүй,Хан-Уул,2,Алтай хотхон,3718731,Нийтэлсэн: 2020-02-08 11:33,Хан уулд 1 өрөө орон сууц 43м2,70000000.0,Улаанбаатар,ganzorig,74833,101,6
Мод,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,29.0,1,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,3718988,Нийтэлсэн: 2020-02-08 12:53,1 давхрын 1 өрөө байр,56000000.0,Улаанбаатар,Цэнгэл,50543,88,1
Паркет,Тагтгүй,2019,Байхгүй,Вакум,9,Төмөр,40.0 м²,2,Хувь лизингтэй,Баянзүрх,2,16-р хороолол,3363264,Нийтэлсэн: 2020-02-08 13:11,16-р хороололд 40 м.кв 1 өрөө байр,69000000.0,Улаанбаатар,Ariunaa,22703,56,6
Паркет,Тагтгүй,2012,Байхгүй,Вакум,5,Төмөр,30.0 м²,4,Лизинггүй,Хан-Уул,1,Viva city,3719104,Нийтэлсэн: 2020-02-08 13:24,Viva city 30мкв 1 өрөө байр,45000000.0,Улаанбаатар,Sodbileg,1270247,303,10
Паркет,1 тагттай,2020,Байхгүй,Вакум,9,Бүргэд,33.0 м²,3,Лизинггүй,Баянгол,3,Бусад,3691904,Нийтэлсэн: 2020-02-08 12:27,"10-р хороололд, apartment 50 хотхонд 1өрөө байр 33м2",68000000.0,Улаанбаатар,Richmon property llc,574260,287,10
Паркет,Тагтгүй,2013,Байхгүй,Вакум,12,Бүргэд,36.6 м²,1,Лизинггүй,Сонгино Хайрхан,2,21-р хороолол,3719668,Нийтэлсэн: 2020-02-08 16:06,21r horoolol 1 uruu bair,48000000.0,Улаанбаатар,Iphone6s,574593,172,1
Паркет,1 тагттай,1999,Байхгүй,Вакум,9,Бүргэд,40.0 м²,6,Лизинггүй,Баянгол,2,"3, 4 хороолол",3719652,Нийтэлсэн: 2020-02-08 16:00,1 uruu bair.od kino teatriin baruun tald,58000000.0,Улаанбаатар,bold,695259,272,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,39.51 м²,7,Лизинггүй,Баянгол,1,Нарны хороолол,3616897,Нийтэлсэн: 2020-02-08 17:05,Нарны хороололд 1 өрөө байр,81800000.0,Улаанбаатар,Мөнхжаргал,430407,117,12
Паркет,1 тагттай,2015,Байхгүй,Вакум,16,Төмөр,38.5 м²,13,Лизинггүй,Баянгол,1,10-р хороолол,3716746,Нийтэлсэн: 2020-02-08 17:22,10r horoolold 1 oroo bair,58000000.0,Улаанбаатар,Tergel,306984,480,1
Паркет,1 тагттай,2012,Байхгүй,Вакум,12,Бүргэд,24.0,10,Лизинггүй,Сонгино Хайрхан,1,21-р хороолол,3719963,Нийтэлсэн: 2020-02-08 18:10,Shd hajuud 1 uruu 24m2,35000000.0,Улаанбаатар,Мишээл,350351,141,1
Паркет,1 тагттай,1980,Байхгүй,Вакум,9,Бүргэд,31.0 м²,8,Лизинггүй,Баянгол,2,10-р хороолол,3567408,Нийтэлсэн: 2020-02-08 19:38,10 horoolol 1 uruu bair 31m2,62000000.0,Улаанбаатар,Saraa,14267,338,1
Паркет,Тагтгүй,2015,Байгаа,Вакум,5,Бүргэд,35.6 м²,1,Лизинггүй,Сонгино Хайрхан,3,5 шар,2520775,Нийтэлсэн: 2020-02-09 01:24,1 oroo 35.6 m2 bair,55000000.0,Улаанбаатар,odnoo,309316,180,2
Паркет,1 тагттай,2018,Байхгүй,Вакум,16,Бүргэд,26.0 м²,7,Лизинггүй,Баянзүрх,1,16-р хороолол,3389121,Нийтэлсэн: 2020-02-08 21:51,26м2 нэг өрөө,40000000.0,Улаанбаатар,Nomin,521048,243,1
Паркет,Тагтгүй,2012,Байхгүй,Вакум,5,Бүргэд,38.3 м²,4,Лизинггүй,Хан-Уул,2,Viva city,3690704,Нийтэлсэн: 2020-02-09 09:01,Вива сити хороололд 1 өрөө 38.3 м2 байр,55000000.0,Улаанбаатар,Telmen Bataa,649468,834,9
Мод,1 тагттай,1989,Байхгүй,Мод,5,Бүргэд,18.0 м²,4,Лизинггүй,Налайх,2,5-р хороолол,2900639,Нийтэлсэн: 2020-02-09 11:04,Налайхын городокд 1 өрөө байр 18м2,35000000.0,Улаанбаатар,5-Р МИКРО,241212,198,8
Паркет,1 тагттай,2013,Байхгүй,Вакум,17,Бүргэд,35.0 м²,7,Лизинггүй,Баянзүрх,1,14-р хороолол,3720639,Нийтэлсэн: 2020-02-09 08:27,Халдвартын эцэсийн буудалын хажууд 1 өрөө,59000000.0,Улаанбаатар,Ганаа,896042,82,2
Паркет,1 тагттай,2010,Байхгүй,Вакум,10,Бүргэд,37.0 м²,4,Лизинггүй,Баянгол,2,Баруун 4 зам,3720945,Нийтэлсэн: 2020-02-09 10:02,Модны 2т 1 өрөө байр,65000000.0,Улаанбаатар,Bolor,1319714,98,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,41.0 м²,10,Лизинггүй,Баянгол,1,Алтай хотхон,3113706,Нийтэлсэн: 2020-02-09 13:06,Нарны гүүрний баруун талд 1 өрөө байр 41м2,70000000.0,Улаанбаатар,Мөнгөнөө,491518,200,9
Паркет,1 тагттай,2010,Байхгүй,Вакум,11,Бүргэд,33.32 м²,11,Лизинггүй,Баянгол,1,Алтай хотхон,3676928,Нийтэлсэн: 2020-02-09 11:42,Алтай хотхонд 1 өрөө,55000000.0,Улаанбаатар,Ариунтуяа,155991,131,2
Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,31.0 м²,4,Лизинггүй,Хан-Уул,1,Бусад,3721787,Нийтэлсэн: 2020-02-09 15:12,Худ 2 хороонд 1 өрөө байр 31m2,1650000.0,Улаанбаатар,Bat,558783,82,7
Паркет,1 тагттай,1981,Байхгүй,Вакум,9,Бүргэд,40.0,1,Лизинггүй,Баянгол,2,"3, 4 хороолол",3721407,Нийтэлсэн: 2020-02-09 13:13,Москва рестораны ард 13р байранд 1 өрөө байр,65000000.0,Улаанбаатар,Сарантуяа,564589,37,1
Паркет,Тагтгүй,2011,Байхгүй,Вакум,5,Бүргэд,25.0 м²,1,Лизинггүй,Баянгол,2,25-р эмийн сан,3721584,Нийтэлсэн: 2020-02-09 14:12,25r emiin sand 1 uruu bair,45000000.0,Улаанбаатар,Saraa,10037,332,1
Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,33.0 м²,12,Лизинггүй,Баянзүрх,2,14-р хороолол,3721316,Нийтэлсэн: 2020-02-09 12:42,13 хороолол халдварт 1 өрөө 33м2,55000000.0,Улаанбаатар,samsung s6,171861,195,1
Чулуу,1 тагттай,1994,Байхгүй,Вакум,9,Бүргэд,18.0,8,Лизинггүй,Баянгол,3,Баруун 4 зам,3660414,Нийтэлсэн: 2020-01-18 21:55,Hotiin tuvd 1 uruu bair,70000000.0,Улаанбаатар,Мөнхдэлгэр,643701,123,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,32.0 м²,6,Лизинггүй,Баянзүрх,1,Сансар,3660547,Нийтэлсэн: 2020-01-18 22:52,Бзд тарвалин хотхонд 1өрөө байр 32м2,52000000.0,Улаанбаатар,Bair,243418,368,2
Мод,Тагтгүй,1988,Байхгүй,Мод,2,Мод,35.0 м²,1,Хувь лизингтэй,Орон нутаг,2,Бусад,710370,Нийтэлсэн: 2020-01-19 12:15,Шарын голд хуучны 1 өрөө байр,5000000.0,Дархан-Уул,Vandan,40492,179,1
Мод,1 тагттай,1988,Байхгүй,Вакум,9,Мод,18.0 м²,8,Лизинггүй,Баянгол,2,"3, 4 хороолол",3660555,Нийтэлсэн: 2020-01-18 22:55,1 өрөө байр,50000000.0,Улаанбаатар,Tsedo,829347,978,1
Паркет,1 тагттай,2020,Байхгүй,Вакум,9,Бүргэд,28.0,5,Лизинггүй,Баянгол,2,"3, 4 хороолол",3660660,Нийтэлсэн: 2020-01-19 08:02,sotod 1uruu bair,58000000.0,Улаанбаатар,Hergvi,1339765,149,1
Паркет,Тагтгүй,2018,Байхгүй,Вакум,7,Бүргэд,32.5 м²,2,Хувь лизингтэй,Баянгол,2,"3, 4 хороолол",3660912,Нийтэлсэн: 2020-01-19 10:29,Гэмтлийн замын хойно 83р байр 1 өрөө байр 32м2,48000000.0,Улаанбаатар,Баяраа,83793,358,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,19,Бүргэд,36.0 м²,3,Лизинггүй,Баянзүрх,2,11-р хороолол,3546249,Нийтэлсэн: 2020-01-19 10:59,Консул тауэрт гал тогоо тусдаа 1 өрөө байр 36м2,79000000.0,Улаанбаатар,Бат-Эрдэнэ,541230,140,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,31.0,2,Лизинггүй,Сонгино Хайрхан,1,21-р хороолол,3661223,Нийтэлсэн: 2020-01-19 12:32,31м2 нэг өрөө байр,50000000.0,Улаанбаатар,Батчимэг,1337502,156,1
Паркет,Тагтгүй,2011,Байхгүй,Төмөр вакум,12,Бүргэд,26.0 м²,10,Лизинггүй,Баянгол,1,Баруун 4 зам,3661303,Нийтэлсэн: 2020-01-19 12:57,Хотын төвд ойр тбд андуудын хойно 1 өрөө,40000000.0,Улаанбаатар,болор,843703,716,2
Паркет,Тагтгүй,2019,Байхгүй,Вакум,1,Бүргэд,24.2 м²,2,Лизинггүй,Хан-Уул,1,Яармаг,3661627,Нийтэлсэн: 2020-01-19 14:38,Яармагийн 2-р буудал дээр 1өрөө,35000000.0,Улаанбаатар,zulaa,56434,464,1
Паркет,1 тагттай,1990,Байхгүй,Мод,9,Бүргэд,40.0 м²,1,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,3662015,Нийтэлсэн: 2020-01-19 17:10,Gal togoo tusdaa 1 uruu bair 40m2,56000000.0,Улаанбаатар,mj,818102,446,1
Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,38.0 м²,2,Лизинггүй,Баянгол,2,"3, 4 хороолол",3662036,Нийтэлсэн: 2020-01-19 16:59,Gal togoo tusdaa 1 uruu bair 38m2,65000000.0,Улаанбаатар,mj,818102,219,1
Паркет,1 тагттай,2010,Байхгүй,Вакум,12,Бүргэд,40.0 м²,11,Лизинггүй,Баянзүрх,2,14-р хороолол,2877278,Нийтэлсэн: 2020-01-19 18:11,"2өрөө болгож зассан 39,6мкв байр",79000000.0,Улаанбаатар,bat,22061,458,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,10,Бүргэд,39.52 м²,6,Лизинггүй,Хан-Уул,1,Нарны хороолол,3662380,Нийтэлсэн: 2020-01-19 19:18,Нарны хороололд 1 өрөө 39.52м2,83000000.0,Улаанбаатар,Зөв эргэлт Зууч,552388,272,1
Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,38.0 м²,8,Банкны лизингтэй,Сүхбаатар,2,100 айл,3662298,Нийтэлсэн: 2020-01-19 19:18,1өрөө байр 38м2,62000000.0,Улаанбаатар,Аз,869033,306,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,45.7 м²,2,Хувь лизингтэй,Баянзүрх,2,Бусад,3662720,Нийтэлсэн: 2020-01-19 22:17,45.70m2 1uruu bair,1500000.0,Улаанбаатар,Tuvshuu,1005151,313,1
Паркет,Тагтгүй,2014,Байхгүй,Вакум,6,Бүргэд,42.0 м²,6,Лизинггүй,Сонгино Хайрхан,2,Бусад,3662710,Нийтэлсэн: 2020-01-19 22:17,Схд 20 хороо цэргийн хотхонд 42м.кв 1өрөө байр,32000000.0,Улаанбаатар,Нямсүрэн,618721,493,1
Паркет,Тагтгүй,2015,Байхгүй,Вакум,14,Бүргэд,30.0 м²,12,Лизинггүй,Сонгино Хайрхан,2,5 шар,3590941,Нийтэлсэн: 2020-01-19 22:20,1 өрөө байр 30м2,46000000.0,Улаанбаатар,ДАШНЯМ,151208,455,2
Паркет,Тагтгүй,2012,Байхгүй,Вакум,5,Бүргэд,30.3 м²,4,Банкны лизингтэй,Хан-Уул,1,Viva city,3662606,Нийтэлсэн: 2020-01-19 21:00,1өрөө байр 30.3м2,45000000.0,Улаанбаатар,naraa,19555,908,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,40.0 м²,12,Лизинггүй,Баянгол,2,"3, 4 хороолол",3662773,Нийтэлсэн: 2020-01-19 22:26,Хороололд 1өрөө байр 40м2,1700000.0,Улаанбаатар,Uuree,1231328,232,1
Паркет,1 тагттай,2017,Байхгүй,Вакум,16,Вакум,36.6 м²,13,Лизинггүй,Баянзүрх,2,13-р хороолол,3662935,Нийтэлсэн: 2020-01-20 08:54,Натурын сэлбэ хотхоны 13 давхарын 36.9 мкв 1 өрөө,70000000.0,Улаанбаатар,Олимп хотхон,1255820,192,1
Паркет,1 тагттай,1998,Байхгүй,Мод,5,Бүргэд,22.0,3,Лизинггүй,Сонгино Хайрхан,3,5 шар,3663141,Нийтэлсэн: 2020-01-20 09:09,5-шард 1 өрөө байр 22м2,45000000.0,Улаанбаатар,ТӨРМАНДАХ,317341,91,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Төмөр,38.0 м²,3,Лизинггүй,Баянзүрх,2,13-р хороолол,3663143,Нийтэлсэн: 2020-01-20 09:11,13 дугаар хороололд 1 өрөө,60000000.0,Улаанбаатар,Баяр,1145735,325,1
Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,43.0 м²,5,Лизинггүй,Хан-Уул,2,Нисэх,3663170,Нийтэлсэн: 2020-01-20 09:22,Нисэхэд 1 өрөө байр 43m2,45000000.0,Улаанбаатар,Цагаан,815561,441,1
Паркет,Тагтгүй,2020,Байхгүй,Вакум,16,Бүргэд,24.04,12,Лизинггүй,Баянзүрх,1,16-р хороолол,3663520,Нийтэлсэн: 2020-01-20 11:04,Sky Residence-d 1өрөө 24м2 байр,1300000.0,Улаанбаатар,Sky residence,396513,212,1
Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,26.4 м²,11,Лизинггүй,Баянзүрх,2,14-р хороолол,3623277,Нийтэлсэн: 2020-01-20 10:38,26.4мкв 1 өрөө,1900000.0,Улаанбаатар,зар мэдээ,458453,149,1
Паркет,1 тагттай,2010,Байхгүй,Вакум,6,Бүргэд,42.0 м²,4,Лизинггүй,Баянгол,2,"3, 4 хороолол",3510918,Нийтэлсэн: 2020-01-20 12:37,Модны2 ганьтын 1 өрөө 42м2 байр,64000000.0,Улаанбаатар,Tumu,114055,492,7
Паркет,1 тагттай,2020,Байхгүй,Вакум,5,Бүргэд,27.0 м²,3,Лизинггүй,Сүхбаатар,1,Дамбадаржаа,3663989,Нийтэлсэн: 2020-01-20 12:41,1 өрөө байр 27м2,40000000.0,Улаанбаатар,Даша,486969,354,1
Паркет,1 тагттай,1998,Байхгүй,Вакум,9,Төмөр,40.0,1,Хувь лизингтэй,Баянгол,2,"3, 4 хороолол",3663943,Нийтэлсэн: 2020-01-20 12:30,Хороолол москва их дэлгүүрийн ард 1 өрөө 40м2 байр,65000000.0,Улаанбаатар,narantuya,555321,112,1
Паркет,Тагтгүй,2011,Байхгүй,Вакум,12,Бүргэд,26.0 м²,10,Лизинггүй,Баянгол,1,"3, 4 хороолол",3206930,Нийтэлсэн: 2020-01-20 14:03,Модны 2т 1 өрөө 26м2 байр,43000000.0,Улаанбаатар,zayaa,838394,1653,6
Паркет,1 тагттай,2005,Байхгүй,Вакум,5,Төмөр вакум,38.14 м²,4,Банкны лизингтэй,Баянгол,2,"3, 4 хороолол",3621670,Нийтэлсэн: 2020-01-20 13:08,4р хороололд 1 өрөө байр 38м2,68000000.0,Улаанбаатар,Отгонсүрэн,1313128,150,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,13,Бүргэд,40.5 м²,2,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,3664397,Нийтэлсэн: 2020-01-20 14:09,Схд-т 1 өрөө байр,65000000.0,Улаанбаатар,Цэндээ,209913,90,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,10,Төмөр,40.0 м²,5,Лизинггүй,Хан-Уул,1,River stone,3665028,Нийтэлсэн: 2020-01-20 16:33,"Худ-ийн 3р хорооны riverstone 1 хотхонд 40,07м2 арктай 1 өрөө байр",80000000.0,Улаанбаатар,Үл хөдлөх,599900,149,25
Паркет,1 тагттай,2011,Байхгүй,Вакум,16,Бүргэд,30.0 м²,15,Лизинггүй,Баянгол,1,10-р хороолол,3664480,Нийтэлсэн: 2020-01-20 14:33,10р хороололд 1өрөө,42000000.0,Улаанбаатар,Ema,173383,768,1
Мод,1 тагттай,1988,Байхгүй,Вакум,5,Бүргэд,38.0 м²,5,Лизинггүй,Чингэлтэй,3,Бусад,3664744,Нийтэлсэн: 2020-01-20 15:32,Чд 5-р хорооны 1 өрөө байр,66000000.0,Улаанбаатар,Нэргүй,482303,268,1
Паркет,1 тагттай,1995,Байхгүй,Вакум,3,Бүргэд,30.0 м²,2,Лизинггүй,Орон нутаг,3,Бусад,3476394,Нийтэлсэн: 2020-01-21 09:56,Төв аймгийн зуунмод-д угсармал 1 өрөө 30м2,43000000.0,Төв,Анударь,844889,176,1
Мод,1 тагттай,1984,Байхгүй,Вакум,9,Бүргэд,18.0,5,Хувь лизингтэй,Баянгол,2,"3, 4 хороолол",3665531,Нийтэлсэн: 2020-01-20 21:20,хороололд 1өрөө,68000000.0,Улаанбаатар,Enkhee,1343104,116,1
Паркет,1 тагттай,2012,Байхгүй,Вакум,12,Бүргэд,31.0 м²,3,Банкны лизингтэй,Баянзүрх,3,13-р хороолол,3665786,Нийтэлсэн: 2020-01-20 21:11,13т 1өрөө байр,55000000.0,Улаанбаатар,нармандах,1219238,692,1
Паркет,Тагтгүй,2017,Байхгүй,Вакум,9,Бүргэд,26.0 м²,4,Лизинггүй,Баянгол,1,10-р хороолол,3223747,Нийтэлсэн: 2020-01-20 18:33,10хороололд 1 өрөө байр,50000000.0,Улаанбаатар,zayaa,838394,1122,2
Паркет,1 тагттай,1988,Байхгүй,Мод,5,Бүргэд,36.0 м²,4,Лизинггүй,Сонгино Хайрхан,2,5 шар,3585393,Нийтэлсэн: 2020-01-21 00:39,1 uruu bair 18m2,44000000.0,Улаанбаатар,Bolormaa,597959,1333,1
Паркет,1 тагттай,1985,Байхгүй,Вакум,9,Бүргэд,45.0 м²,7,Лизинггүй,Сонгино Хайрхан,3,1-р хороолол,3667496,Нийтэлсэн: 2020-01-21 14:25,Цамбагаравт гал тогоо тусдаа 1 өрөө 45м2 байр,65000000.0,Төв,Заяа,59677,182,13
Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,40.0 м²,1,Банкны лизингтэй,Баянгол,2,"3, 4 хороолол",3667058,Нийтэлсэн: 2020-01-21 12:42,Москва дэлгүүрийн арын 13байранд 1 өрөө 40м2 байр,65000000.0,Улаанбаатар,Нэрbi,405323,236,1
Паркет,1 тагттай,2009,Байхгүй,Вакум,9,Бүргэд,30.0,3,Лизинггүй,Баянзүрх,2,Офицер,3667091,Нийтэлсэн: 2020-01-21 12:44,1 өрөө байр,50000000.0,Улаанбаатар,Офицерын тойрогт,1344196,141,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,10,Төмөр,40.0 м²,5,Лизинггүй,Хан-Уул,2,River stone,3667293,Нийтэлсэн: 2020-01-21 13:35,"худ-ийн 3р хорооны riverstone 1 хотхонд 40,07м2 арктай 1 өрөө байр",80000000.0,Улаанбаатар,tselmeg,558194,160,25
Паркет,1 тагттай,2020,Байгаа,Төмөр вакум,16,Бүргэд,29.0 м²,8,Банкны лизингтэй,Сонгино Хайрхан,2,21-р хороолол,3668410,Нийтэлсэн: 2020-01-21 18:30,Чингис соосэ-н замын урд хамаг монгол хотхон 1 өрөө 29м2,1800000.0,Улаанбаатар,Temka,1344883,88,3
Паркет,1 тагттай,2019,Байхгүй,Вакум,12,Бүргэд,31.0 м²,2,Лизинггүй,Баянгол,2,"3, 4 хороолол",3473085,Нийтэлсэн: 2020-01-21 14:08,хороололд 1 өрөө,50000000.0,Улаанбаатар,Khangarid Property LLC,619031,362,1
Паркет,1 тагттай,2017,Байхгүй,Вакум,6,Бүргэд,29.0 м²,5,Лизинггүй,Хан-Уул,2,Бусад,3667962,Нийтэлсэн: 2020-01-21 16:17,1өрөө байр 29м2,39000000.0,Улаанбаатар,Enkhbold,1344615,637,1
Паркет,1 тагттай,2014,Байхгүй,Вакум,10,Бүргэд,50.0 м²,3,Лизинггүй,Баянгол,2,Төмөр зам,3668869,Нийтэлсэн: 2020-01-21 21:23,Tomor zamd 50мкв 1өрөө,85000000.0,Улаанбаатар,mizu,627878,172,1
Паркет,2 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,36.0,5,Лизинггүй,Чингэлтэй,2,Баянбүрд,3668962,Нийтэлсэн: 2020-01-21 21:56,Баянбүрд 36 м2.тай 1өрөө байр,75000000.0,Улаанбаатар,Khishgee,321698,76,1
Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Бүргэд,25.0 м²,1,Лизинггүй,Сонгино Хайрхан,1,21-р хороолол,3669046,Нийтэлсэн: 2020-01-22 09:04,21р хороололд 25м2 1өрөө байр,1600000.0,Улаанбаатар,Ariuntuul,572780,67,1
Мод,1 тагттай,1994,Байхгүй,Вакум,5,Мод,12.0 м²,3,Лизинггүй,Сонгино Хайрхан,2,Бусад,3503243,Нийтэлсэн: 2020-01-21 22:46,1 өрөө байр,35000000.0,Улаанбаатар,bna,1230606,508,1
Паркет,1 тагттай,2016,Байхгүй,Вакум,14,Бүргэд,28.0 м²,2,Лизинггүй,Хан-Уул,1,Зайсан,3669510,Нийтэлсэн: 2020-01-22 10:20,Худ соёмбо хотхонд 1 өрөө байр,51000000.0,Улаанбаатар,Өсөхөө,357038,318,1
Паркет,1 тагттай,2013,Байхгүй,Вакум,5,Бүргэд,27.8 м²,1,Лизинггүй,Сонгино Хайрхан,1,5 шар,3669618,Нийтэлсэн: 2020-01-22 10:33,27.8mk 1 uruu bair,40000000.0,Улаанбаатар,Zurh,177373,600,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,15,Бүргэд,33.0 м²,6,Лизинггүй,Хан-Уул,1,19-р хороолол,3495836,Нийтэлсэн: 2020-01-22 10:52,"Худ нарны гүүрийн зүүн талд 33,3м2 нэг өрөө байр",1800000.0,Улаанбаатар,Солонгоо,767851,219,1
Паркет,1 тагттай,2012,Байхгүй,Вакум,8,Вакум,34.0 м²,6,Лизинггүй,Баянзүрх,2,16-р хороолол,3517113,Нийтэлсэн: 2020-01-22 11:18,16d 1 uruu bair,53000000.0,Улаанбаатар,Bbatar,366200,117,1
Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,49.0 м²,10,Лизинггүй,Баянгол,2,Нарны хороолол,3670549,Нийтэлсэн: 2020-01-22 14:15,Бгд-ийн 3-р хороо нарны хороолол,98000000.0,Улаанбаатар,Ganaa,833137,204,5
Паркет,1 тагттай,2020,Байгаа,Вакум,9,Бүргэд,34.0,3,Лизинггүй,Баянгол,2,10-р хороолол,3670623,Нийтэлсэн: 2020-01-22 14:36,1 өрөө байр,1900000.0,Улаанбаатар,ABO интернэшнл ХХК,201350,81,1
Паркет,1 тагттай,2019,Байхгүй,Вакум,16,Бүргэд,26.0 м²,8,Лизинггүй,Баянгол,1,16-р хороолол,3575625,Нийтэлсэн: 2020-01-22 10:52,"26,3м2 нэг өрөө",1550000.0,Улаанбаатар,Солонгоо,767851,151,2
Паркет,1 тагттай,2010,Байхгүй,Вакум,4,Бүргэд,34.0 м²,4,Банкны лизингтэй,Баянзүрх,1,Сансар,3586892,Нийтэлсэн: 2020-01-22 14:53,Сансар 805 хүнс комплексийн хажууд 34м.кв 1 өрөө байр,55000000.0,Улаанбаатар,билгүүн,304545,435,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,35.51 м²,6,Лизинггүй,Баянгол,2,Алтай хотхон,3533946,Нийтэлсэн: 2020-02-04 23:24,Алтай хотхоны хойно барс захын урд 1өрөө 35.51м2,68900000.0,Улаанбаатар,Bumaa,4710,78,6
Паркет,1 тагттай,2012,Байхгүй,Мод,1,Бүргэд,22.4 м²,1,Лизинггүй,Баянзүрх,1,Шар хад,1404896,Нийтэлсэн: 2020-02-04 18:45,Да хүрээ захын хажууд 1 өрөө 22.4м2 байр,35000000.0,Улаанбаатар,гого,66297,153,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,49.0 м²,4,Лизинггүй,Сонгино Хайрхан,3,21-р хороолол,2980173,Нийтэлсэн: 2020-01-22 15:04,21-хороололд орчлон хороололд 1 өрөө 49м2,59000000.0,Улаанбаатар,Tsogtoo,636373,1061,1
Паркет,1 тагттай,2014,Байхгүй,Вакум,16,Бүргэд,26.27 м²,3,Лизинггүй,Сүхбаатар,1,Бусад,3708952,Нийтэлсэн: 2020-02-05 08:29,Үйлдвэрчин хотхонд 1 өрөө байр,52000000.0,Улаанбаатар,Bayaraa,447466,215,1
Паркет,1 тагттай,2011,Байгаа,Вакум,9,Бүргэд,37.0 м²,8,Лизинггүй,Баянгол,2,"3, 4 хороолол",3708640,Нийтэлсэн: 2020-02-05 09:23,3хороолол эцэст говь цогцолбор баруун талд 1өрөө байр,60000000.0,Улаанбаатар,Батбаяр,1296222,138,1
Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Вакум,23.47 м²,5,Лизинггүй,Баянзүрх,1,Чулуун овоо,3647886,Нийтэлсэн: 2020-02-05 08:53,23.47m2 1 өрөө,999000.0,Улаанбаатар,ontsgoi,1192254,716,1
Паркет,1 тагттай,2012,Байхгүй,Вакум,5,Бүргэд,29.0 м²,1,Лизинггүй,Баянгол,2,Бусад,3628009,Нийтэлсэн: 2020-02-05 10:19,Баялаг хотхонд 1 өрөө,55000000.0,Улаанбаатар,МLOH,699115,95,1
Паркет,1 тагттай,2018,Байхгүй,Вакум,9,Төмөр,34.5 м²,8,Лизинггүй,Баянгол,1,"3, 4 хороолол",2937728,Нийтэлсэн: 2020-02-05 10:26,"3 хороололд 1 өрөө байр 34,5м2",64000000.0,Улаанбаатар,Юмка,678624,1636,2
Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Төмөр,35.0 м²,8,Лизинггүй,Баянзүрх,2,Бусад,3334673,Нийтэлсэн: 2020-02-05 10:26,Sky town-1 хотхонд 1өрөө байр 42м2,71500000.0,Улаанбаатар,Юмка,678624,1255,4
